ID;genre;situation_academique;domaine_etude;a_deja_vecu_kot;region_domicile;intention_erasmus;facteur_budget;facteur_barriere_langue;facteur_loin_famille;facteur_relation_amoureuse;facteur_climat;facteur_culture;facteur_alimentation;facteur_confort;facteur_craintes_sociales;facteur_organisation;classement_zone_preferee;destination_ideale_en_tete;destination_ideale;lien_destination;importance_culture_locale;importance_langue_locale;importance_prestige_universites;importance_offre_universites;importance_distance_origine;importance_politique_pays;importance_cout_vie;importance_richesse_pays;importance_climat_destination;importance_agencement_villes;importance_impact_climatique_trajet;importance_subside;importance_aide_topup_ecoresponsable;importance_securite
158;Homme;Master ;Sciences;Oui;Périurbaine;Oui;;;;;;;;;;;"Afrique Sub-Saharienne;Océanie;Europe occidentale;Scandinavie (Pays du nord de l'Europe);Amérique latine;Afrique du Nord;Asie de l'Est;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Europe de l'Est;";Non;;;Fort;Fort;Peu;Modérément;Très peu;Modérément;Modérément;Très peu;Très fort;Fort;Très peu;Fort;Modérément;Fort
159;Femme;Bac;Philosophie, arts et lettres;Oui;Rurale;Oui;;;;;;;;;;;"Europe occidentale;Amérique latine;Amérique du Nord (US et Canada);Océanie;Scandinavie (Pays du nord de l'Europe);Afrique Sub-Saharienne;Asie de l'Est;Asie (centrale/ du Sud);Europe de l'Est;Afrique du Nord;";Oui;Espagne;Oui;Fort;Très fort;Peu;Modérément;Très peu;Modérément;Fort;Peu;Fort;Très fort;Modérément;Modérément;Peu;Fort
160;Homme;Master ;Ingénieur civil / industriel;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Océanie;Afrique Sub-Saharienne;Afrique du Nord;Asie de l'Est;Asie (centrale/ du Sud);Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe occidentale;Europe de l'Est;";Non;;;Fort;Fort;Peu;Peu;Modérément;Modérément;Fort;Fort;Fort;Peu;Modérément;Modérément;Modérément;Modérément
161;Homme;Master ;Ingénieur agronomique ;Oui;Périurbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe occidentale;Europe de l'Est;Amérique latine;Océanie;Asie (centrale/ du Sud);Asie de l'Est;Afrique du Nord;Afrique Sub-Saharienne;";Oui;Canada;Oui;Fort;Fort;Très peu;Peu;Modérément;Peu;Peu;Très peu;Modérément;Peu;Très fort;Fort;Peu;Très peu
162;Je ne souhaite pas répondre ;Bac;Autre / Je ne suis pas concerné;Non;Périurbaine;Peut-être;;;;;;;;;;;"Afrique du Nord;Europe occidentale;Scandinavie (Pays du nord de l'Europe);Océanie;Amérique latine;Europe de l'Est;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Asie de l'Est;Amérique du Nord (US et Canada);";Non;;;Fort;Fort;Modérément;Modérément;Très peu;Fort;Modérément;Modérément;Modérément;Très peu;Modérément;Modérément;Peu;Très fort
163;Femme;Bac;Philosophie, arts et lettres;Oui;Urbaine;Peut-être;;;;;;;;;;;"Amérique latine;Afrique du Nord;Asie de l'Est;Asie (centrale/ du Sud);Europe de l'Est;Amérique du Nord (US et Canada);Afrique Sub-Saharienne;Scandinavie (Pays du nord de l'Europe);Europe occidentale;Océanie;";Oui;Mexico City;Non;Fort;Fort;Modérément;Modérément;Fort;Modérément;Modérément;Modérément;Fort;Fort;Modérément;Modérément;Modérément;Fort
164;Homme;Bac;Informatique;Non;Périurbaine;Oui;;;;;;;;;;;"Europe occidentale;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Océanie;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Amérique latine;Afrique du Nord;Afrique Sub-Saharienne;";Oui;Londres;Oui;Très fort;Très fort;Très fort;Modérément;Modérément;Très peu;Modérément;Modérément;Très peu;Très fort;Modérément;Modérément;Modérément;Modérément
165;Homme;Bac;Sciences;Non;Périurbaine;Peut-être;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe de l'Est;Europe occidentale;Afrique du Nord;Amérique latine;Asie de l'Est;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Océanie;";Oui;Danemark,Canada;Oui;Modérément;Peu;Modérément;Modérément;Fort;Modérément;Très peu;Très fort;Modérément;Très fort;Fort;Peu;Peu;Fort
166;Homme;Doctorat;Sciences;Oui;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Europe occidentale;Amérique du Nord (US et Canada);Océanie;Asie de l'Est;Asie (centrale/ du Sud);Amérique latine;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Finlande;Oui;Très fort;Fort;Modérément;Fort;Modérément;Modérément;Fort;Modérément;Très fort;Très fort;Fort;Fort;Fort;Très fort
167;Homme;Bac;Ingénieur civil / industriel;Oui;Périurbaine;Oui;;;;;;;;;;;"Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Amérique latine;Asie de l'Est;Océanie;Afrique Sub-Saharienne;Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Europe de l'Est;Europe occidentale;";Non;;;Modérément;Fort;Très fort;Fort;Très peu;Peu;Fort;Peu;Fort;Fort;Très peu;Très fort;Très fort;Fort
168;Homme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Europe occidentale;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe de l'Est;Océanie;Asie de l'Est;Asie (centrale/ du Sud);Amérique latine;Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Peu;Fort;Modérément;Modérément;Très fort;Modérément;Fort;Très peu;Modérément;Peu;Modérément;Très peu;Très fort
169;Homme;Master ;Ingénieur civil / industriel;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Océanie;Europe occidentale;Afrique Sub-Saharienne;Asie de l'Est;Afrique du Nord;Europe de l'Est;Scandinavie (Pays du nord de l'Europe);";Oui;Mexique;Non;Très fort;Très fort;Peu;Peu;Très peu;Modérément;Fort;Très peu;Fort;Peu;Fort;Fort;Très peu;Modérément
170;Homme;Bac;Sciences;Non;Périurbaine;Peut-être;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Europe occidentale;Amérique latine;Océanie;Asie de l'Est;Amérique du Nord (US et Canada);Afrique Sub-Saharienne;Asie (centrale/ du Sud);Afrique du Nord;";Non;;;Fort;Très fort;Peu;Fort;Très peu;Très fort;Fort;Très peu;Modérément;Fort;Très fort;Fort;Fort;Très fort
172;Femme;Je ne suis plus aux études;Sciences de l’éducation;Non;Périurbaine;Oui;;;;;;;;;;;"Afrique Sub-Saharienne;Amérique latine;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Océanie;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Europe occidentale;";Non;;;Très fort;Peu;Très peu;Modérément;Très peu;Peu;Modérément;Peu;Peu;Fort;Modérément;Modérément;Peu;Modérément
174;Homme;Je ne suis plus aux études;Sciences politiques, sociales, économiques, de communication;Oui;Rurale;Oui;;;;;;;;;;;"Asie de l'Est;Océanie;Amérique latine;Amérique du Nord (US et Canada);Europe occidentale;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Peu;Modérément;Modérément;Très peu;Modérément;Peu;Modérément;Fort;Modérément;Peu;Peu;Peu;Modérément
175;Homme;Bac;Ingénieur civil / industriel;Oui;Périurbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe occidentale;Europe de l'Est;Afrique du Nord;Amérique latine;Asie de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Océanie;";Oui;Suède;Non;Peu;Très peu;Fort;Très fort;Peu;Peu;Peu;Très peu;Fort;Très peu;Modérément;Modérément;Peu;Peu
150;Homme;Master ;Ingénieur agronomique ;Oui;Périurbaine;Non;Peu;Modérément;Très peu;Fort;Très peu;Très peu;Très peu;Très peu;Fort;Peu;;;;;;;;;;;;;;;;;;
171;Femme;Je ne suis plus aux études;Sciences de la santé (Medecine / dentisterie / kinésitérapeute / ...);Non;Périurbaine;Non;Peu;Fort;Très fort;Très fort;Peu;Très fort;Fort;Fort;Peu;Peu;;;;;;;;;;;;;;;;;;
173;Homme;Je ne suis plus aux études;Autre / Je ne suis pas concerné;Non;Urbaine;Non;Très peu;Très peu;Très peu;Peu;Peu;Très peu;Peu;Peu;Peu;Peu;;;;;;;;;;;;;;;;;;
